Indiv_ID,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
1,41.4301561359555,35.3934585910385,36.9498328600752,43.6551562012357,36.8570105158818,37.2782282325114,59.8816098490553,68.5660923132521,75.5607090492857,88.2833873976038,111.362500453435,97.5971824852686,91.1878668624064,86.1080954413576,83.0935939561633,99.2306412502506,90.1172368963809,110.792553063042
2,21.876042744833,42.1369575489171,42.2887108283991,37.970048307027,21.4752528651362,80.4823240639329,49.3562829698284,69.9373766955747,73.6503208737393,68.6266286790839,111.14131690152,74.7601219759554,83.3015476700997,80.7566560693891,109.086481210727,109.273150430843,93.3000006577028,93.2567440592331
3,45.6559943267764,13.7015381693705,35.4560278649812,26.4107549671575,64.9673924143032,57.607450577351,76.921916377717,78.2670229980377,55.9964166081235,85.8867545891657,68.7522682306303,94.6215156309624,75.9992540909677,109.758137579048,87.5221421046181,64.3371686317965,90.4987261663614,88.4537846264673
4,38.4285972613604,45.831032527282,21.045895606906,42.5150471461818,54.8551961761003,59.5025111165499,61.2296721531058,49.2957204093324,92.2165567839652,114.096488006821,105.322838226072,85.047698134097,97.5367670467674,75.9704544802772,102.590505163248,80.4375156565643,108.97026820899,83.9573905545722
5,31.3426744107143,31.062315639737,32.284035633718,58.7942032108438,25.231260414168,66.2015071684164,38.6088348018214,70.1132467612317,53.2429087736966,79.2454036906848,81.6906433411645,109.039798734077,85.2917058459094,96.6432431483891,100.743626944001,74.5332263151222,98.0977217853692,83.7346174383351
6,15.6886372100454,22.6186987963931,27.2141257426776,47.9757943244701,44.7415427623146,55.4158505226597,71.5448628562971,45.3424435255668,66.5982840712796,89.7338008702999,106.76738091713,88.5762010504181,103.146950908876,99.9091259971887,107.115245246684,78.5557882911672,97.1350870621005,91.3072033287895
7,30.123902048187,41.7489730877748,48.2134726732896,61.2157580640119,40.3643384556127,59.265228563171,50.1743319573939,64.3066450869804,58.5129253558656,90.5126745234525,120.474557575099,106.632653968742,97.0172313003168,85.2534291989866,90.1598041568578,103.878256604825,91.9435035987714,103.152406479068
8,37.9779341957692,60.0992768716812,36.6942923352241,41.8886484574944,36.0678194398671,38.4552066246716,62.4919426569618,58.6563513876217,48.4584332707688,93.2152543651509,96.0526888884557,111.067680505198,87.2001380078639,108.91578263415,104.853376558668,69.3501065414725,89.5811293534548,99.0538885060469
9,14.2510459053642,44.4579821273757,11.8903312165991,43.5873367630674,43.9677687459203,48.971404100178,55.6011791883727,75.2942532923146,69.5807649668133,91.093003348804,111.100701648066,82.9585810293449,109.523923192693,81.8833875011672,127.722274878658,96.1328735620128,112.426643277437,85.3855583051058
10,19.4633843352313,35.5646974870681,38.8147318404889,44.9140714313091,60.1112803379838,46.0089908686453,58.1412686872094,52.1896459011277,86.0154045332015,99.9679158082412,71.3198385613313,101.732174780522,97.05416487516,114.127839231147,119.657467069832,75.0385626184612,114.711372656502,93.1800510594406
11,22.4038002032592,25.8012892761858,42.8401024397832,51.1684998993028,51.4177623313565,53.5902050357396,43.3117865426373,76.7558102597506,73.3011323911807,71.8923372544044,100.823624929748,93.904872850921,78.793318440908,83.9407757779954,104.783422318271,106.53902294481,86.5815182293108,85.0450955988698
12,27.711593593829,22.4750713450174,48.0518023827119,26.954640455632,44.9995556128398,46.0162789372229,37.0699593581898,59.9558904375401,56.3335498126505,120.825741009863,98.8200434760131,99.1504177375869,107.890488969658,90.9622649167617,97.8201241859154,88.0682745847326,113.125221806031,89.8294427672797
13,17.8049709184172,40.3823940464189,34.2516070037641,47.5901935284609,50.4329399100781,70.937159038323,53.9508359500828,71.8165928561394,66.965176422438,74.141274595415,68.4666936677503,88.890065662393,88.4019898087264,97.992978720338,81.8790267990318,109.820946732666,97.6302996084827,101.884476923131
14,12.3569558358355,59.162657829208,34.6620369702586,60.9298836186301,45.4384695478435,54.888067899286,62.8053764480702,46.6972326427404,67.2152336682707,84.4795287720987,76.3157497228363,110.948190113751,105.594014918892,96.0919851592462,74.2942309869249,114.672919063184,116.413969629565,82.8970098439819
15,35.9525777544471,19.2603216901611,66.2505435667141,26.0584221232427,61.6852219345873,69.7602061866471,64.8034295878273,92.8048699397868,72.7320273334273,82.7629360205059,99.8743591562878,73.236348535604,66.4959785381661,90.3671548046351,97.7087443037474,108.305285273643,75.282028824773,101.834037810771
16,9.5845796210126,36.4175694471913,33.992927929653,36.0721071369589,49.8453773758947,52.825583363215,49.5174345249668,66.0824612039665,90.9418466650546,75.4056807402787,104.805066626736,105.277542914182,84.5468024542687,104.987664258503,108.658842836105,98.3541485072855,92.9071222524503,94.4936397748005
17,39.3024590815804,46.6056935350298,43.7073764932663,46.0318173394697,33.9092896687225,66.0220457514359,64.4731279303208,56.7403928168493,56.8301516404954,89.0382664324352,66.775029914915,102.493248112379,67.0651494318125,109.719631968731,66.1303266401317,86.3050862372839,75.4042494505001,77.0724904113085
